@timestamp,agent.hostname,event.category,event.created,event.ingested,event.original,event.outcome,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.platform,host.os.type,host.os.version,http.request.method,http.request.referrer,http.response.body.bytes,http.response.status_code,http.version,service.type,source.address,source.as.organization.name,source.geo.city_name,source.geo.continent_name,source.geo.country_iso_code,source.geo.country_name,source.geo.location,source.geo.region_iso_code,source.geo.region_name,traefik.access.user_agent.name,traefik.access.user_agent.original,traefik.access.user_agent.os_name,url.extension,url.original,url.path,url.query,user_agent.device.name,user_agent.version
"Oct 24, 2022 @ 23:25:17.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:17.872","Oct 24, 2022 @ 23:25:18.654","123.123.123.3 - - [24/Oct/2022:23:25:17 +0800] ""GET /login.php HTTP/1.1"" 200 1181 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,181",200,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/login.php,/login.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:17.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:17.873","Oct 24, 2022 @ 23:25:18.655","123.123.123.3 - - [24/Oct/2022:23:25:17 +0800] ""POST /login.php HTTP/1.1"" 302 363 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),POST,-,363,302,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/login.php,/login.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:17.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:17.873","Oct 24, 2022 @ 23:25:18.655","123.123.123.3 - - [24/Oct/2022:23:25:17 +0800] ""GET /index.php HTTP/1.1"" 200 2908 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"2,908",200,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/index.php,/index.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:17.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:17.873","Oct 24, 2022 @ 23:25:18.655","123.123.123.3 - - [24/Oct/2022:23:25:17 +0800] ""GET /vulnerabilities/brute/vulnerabilities/csrf/ HTTP/1.1"" 404 487 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",failure,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,487,404,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,-,/vulnerabilities/brute/vulnerabilities/csrf/,/vulnerabilities/brute/vulnerabilities/csrf/,-,Other,105.0.
"Oct 24, 2022 @ 23:25:17.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:17.873","Oct 24, 2022 @ 23:25:18.655","123.123.123.3 - - [24/Oct/2022:23:25:17 +0800] ""GET /vulnerabilities/sqli/ HTTP/1.1"" 200 1691 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,691",200,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,-,/vulnerabilities/sqli/,/vulnerabilities/sqli/,-,Other,105.0.
"Oct 24, 2022 @ 23:25:17.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:17.873","Oct 24, 2022 @ 23:25:18.656","123.123.123.3 - - [24/Oct/2022:23:25:17 +0800] ""GET /vulnerabilities/weak_id/ HTTP/1.1"" 200 1515 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,515",200,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,-,/vulnerabilities/weak_id/,/vulnerabilities/weak_id/,-,Other,105.0.
"Oct 24, 2022 @ 23:25:17.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:17.873","Oct 24, 2022 @ 23:25:18.656","123.123.123.3 - - [24/Oct/2022:23:25:17 +0800] ""GET /logout.php HTTP/1.1"" 302 363 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,363,302,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/logout.php,/logout.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:17.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:17.873","Oct 24, 2022 @ 23:25:18.657","123.123.123.3 - - [24/Oct/2022:23:25:17 +0800] ""GET /login.php HTTP/1.1"" 200 1045 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,045",200,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/login.php,/login.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:17.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:17.873","Oct 24, 2022 @ 23:25:18.657","127.0.0.1 - - [24/Oct/2022:23:25:17 +0800] ""GET /server-status?auto= HTTP/1.1"" 200 606 ""-"" ""Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC)""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,606,200,1.1,apache,127.0.0.1,-,-,-,-,-,-,-,-,Other,Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC),Linux,-,/server-status?auto=,/server-status,auto=,Other,-
"Oct 24, 2022 @ 23:25:14.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:14.871","Oct 24, 2022 @ 23:25:15.874","123.123.123.4 - - [24/Oct/2022:23:25:14 +0800] ""GET /login.php HTTP/1.1"" 200 1183 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,183",200,1.1,apache,123.123.123.4,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/login.php,/login.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:14.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:14.871","Oct 24, 2022 @ 23:25:15.875","123.123.123.4 - - [24/Oct/2022:23:25:14 +0800] ""POST /login.php HTTP/1.1"" 302 363 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),POST,-,363,302,1.1,apache,123.123.123.4,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/login.php,/login.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:14.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:14.872","Oct 24, 2022 @ 23:25:15.875","123.123.123.4 - - [24/Oct/2022:23:25:14 +0800] ""GET /index.php HTTP/1.1"" 200 2908 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"2,908",200,1.1,apache,123.123.123.4,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/index.php,/index.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:14.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:14.872","Oct 24, 2022 @ 23:25:15.875","123.123.123.4 - - [24/Oct/2022:23:25:14 +0800] ""GET /index.php HTTP/1.1"" 200 2881 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"2,881",200,1.1,apache,123.123.123.4,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/index.php,/index.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:14.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:14.872","Oct 24, 2022 @ 23:25:15.875","123.123.123.4 - - [24/Oct/2022:23:25:14 +0800] ""GET /vulnerabilities/weak_id/ HTTP/1.1"" 200 1515 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,515",200,1.1,apache,123.123.123.4,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,-,/vulnerabilities/weak_id/,/vulnerabilities/weak_id/,-,Other,105.0.
"Oct 24, 2022 @ 23:25:14.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:14.872","Oct 24, 2022 @ 23:25:15.875","123.123.123.4 - - [24/Oct/2022:23:25:14 +0800] ""GET /vulnerabilities/xss_s/ HTTP/1.1"" 200 1962 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,962",200,1.1,apache,123.123.123.4,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,-,/vulnerabilities/xss_s/,/vulnerabilities/xss_s/,-,Other,105.0.
"Oct 24, 2022 @ 23:25:14.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:14.872","Oct 24, 2022 @ 23:25:15.875","123.123.123.4 - - [24/Oct/2022:23:25:14 +0800] ""GET /logout.php HTTP/1.1"" 302 363 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,363,302,1.1,apache,123.123.123.4,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/logout.php,/logout.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:14.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:14.872","Oct 24, 2022 @ 23:25:15.875","123.123.123.4 - - [24/Oct/2022:23:25:14 +0800] ""GET /login.php HTTP/1.1"" 200 1042 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,042",200,1.1,apache,123.123.123.4,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/login.php,/login.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:12.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:13.870","Oct 24, 2022 @ 23:25:14.873","123.123.123.2 - - [24/Oct/2022:23:25:12 +0800] ""GET /login.php HTTP/1.1"" 200 1182 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,182",200,1.1,apache,123.123.123.2,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/login.php,/login.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:12.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:13.870","Oct 24, 2022 @ 23:25:14.874","123.123.123.2 - - [24/Oct/2022:23:25:12 +0800] ""POST /login.php HTTP/1.1"" 302 363 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),POST,-,363,302,1.1,apache,123.123.123.2,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/login.php,/login.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:12.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:13.870","Oct 24, 2022 @ 23:25:14.874","123.123.123.2 - - [24/Oct/2022:23:25:12 +0800] ""GET /index.php HTTP/1.1"" 200 2908 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"2,908",200,1.1,apache,123.123.123.2,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/index.php,/index.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:12.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:13.870","Oct 24, 2022 @ 23:25:14.874","123.123.123.2 - - [24/Oct/2022:23:25:12 +0800] ""GET /vulnerabilities/xss_d/ HTTP/1.1"" 200 1869 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,869",200,1.1,apache,123.123.123.2,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,-,/vulnerabilities/xss_d/,/vulnerabilities/xss_d/,-,Other,105.0.
"Oct 24, 2022 @ 23:25:12.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:13.870","Oct 24, 2022 @ 23:25:14.874","123.123.123.2 - - [24/Oct/2022:23:25:12 +0800] ""GET /vulnerabilities/upload/ HTTP/1.1"" 200 1712 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,712",200,1.1,apache,123.123.123.2,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,-,/vulnerabilities/upload/,/vulnerabilities/upload/,-,Other,105.0.
"Oct 24, 2022 @ 23:25:12.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:13.870","Oct 24, 2022 @ 23:25:14.874","123.123.123.2 - - [24/Oct/2022:23:25:12 +0800] ""GET /vulnerabilities/sqli_blind/ HTTP/1.1"" 200 1698 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,698",200,1.1,apache,123.123.123.2,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,-,/vulnerabilities/sqli_blind/,/vulnerabilities/sqli_blind/,-,Other,105.0.
"Oct 24, 2022 @ 23:25:12.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:13.870","Oct 24, 2022 @ 23:25:14.874","123.123.123.2 - - [24/Oct/2022:23:25:12 +0800] ""GET /logout.php HTTP/1.1"" 302 363 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,363,302,1.1,apache,123.123.123.2,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/logout.php,/logout.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:12.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:13.870","Oct 24, 2022 @ 23:25:14.874","123.123.123.2 - - [24/Oct/2022:23:25:12 +0800] ""GET /login.php HTTP/1.1"" 200 1042 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,042",200,1.1,apache,123.123.123.2,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/login.php,/login.php,-,Other,105.0.
"Oct 24, 2022 @ 23:25:07.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:10.868","Oct 24, 2022 @ 23:25:11.872","127.0.0.1 - - [24/Oct/2022:23:25:07 +0800] ""GET /server-status?auto= HTTP/1.1"" 200 603 ""-"" ""Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC)""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,603,200,1.1,apache,127.0.0.1,-,-,-,-,-,-,-,-,Other,Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC),Linux,-,/server-status?auto=,/server-status,auto=,Other,-
