"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","event.action","event.category","event.dataset","event.ingested","event.kind","event.module","event.outcome","event.timezone","event.type","fileset.name","host.hostname","host.name","input.type","log.file.path","log.offset",message,"process.name","process.name.text","process.pid","related.hosts","related.ip","related.user","service.type","source.ip","source.port","system.auth.ssh.event","system.auth.ssh.method","system.auth.sudo.command","system.auth.sudo.pwd","system.auth.sudo.tty","system.auth.sudo.user","user.effective.name","user.effective.name.text","user.name","user.name.text"
"Oct 23, 2022 @ 07:19:15.000",AWY2BYQB1EsGpQnRfva6,".ds-filebeat-8.3.3-2022.10.23-000001","-","58a8799e-7f70-45b9-8246-9e8479e9558e",UbuntuIns,"8918a70b-95b2-4663-b4e2-2cdd60c759c6",UbuntuIns,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 23, 2022 @ 07:19:28.314",event,system,"-","+00:00","-",auth,UbuntuIns,UbuntuIns,log,"/var/log/auth.log","6,947","pam_unix(sshd:session): session closed for user badman",sshd,sshd,1102,UbuntuIns,"-",badman,system,"-","-","-","-","-","-","-","-","-","-",badman,badman
"Oct 23, 2022 @ 06:44:31.000",kmYWBYQB1EsGpQnRhQOw,".ds-filebeat-8.3.3-2022.10.23-000001","-","58a8799e-7f70-45b9-8246-9e8479e9558e",UbuntuIns,"8918a70b-95b2-4663-b4e2-2cdd60c759c6",UbuntuIns,filebeat,"8.3.3","1.12.0","ssh_login","authentication, session","system.auth","Oct 23, 2022 @ 06:44:32.941",event,system,success,"+00:00","authentication_success, info",auth,UbuntuIns,UbuntuIns,log,"/var/log/auth.log","3,393","-",sshd,sshd,1102,UbuntuIns,"172.20.0.1",badman,system,"172.20.0.1",35570,Accepted,password,"-","-","-","-","-","-",badman,badman
"Oct 23, 2022 @ 06:43:08.000","9mUVBYQB1EsGpQnRYP-t",".ds-filebeat-8.3.3-2022.10.23-000001","-","58a8799e-7f70-45b9-8246-9e8479e9558e",UbuntuIns,"8918a70b-95b2-4663-b4e2-2cdd60c759c6",UbuntuIns,filebeat,"8.3.3","1.12.0","ssh_login","authentication, session","system.auth","Oct 23, 2022 @ 06:43:17.931",event,system,success,"+00:00","authentication_success, info",auth,UbuntuIns,UbuntuIns,log,"/var/log/auth.log","2,933","-",sshd,sshd,1086,UbuntuIns,"172.20.0.1",badman,system,"172.20.0.1",43894,Accepted,password,"-","-","-","-","-","-",badman,badman
"Oct 23, 2022 @ 06:25:12.000",GGUEBYQB1EsGpQnR3cyg,".ds-filebeat-8.3.3-2022.10.23-000001","-","58a8799e-7f70-45b9-8246-9e8479e9558e",UbuntuIns,"8918a70b-95b2-4663-b4e2-2cdd60c759c6",UbuntuIns,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 23, 2022 @ 06:25:15.806",event,system,"-","+00:00","-",auth,UbuntuIns,UbuntuIns,log,"/var/log/auth.log","2,504","-",sudo,sudo,"-",UbuntuIns,"-","badman, root",system,"-","-","-","-","./log4shell.sh","/home/badman/log4j","pts/0",root,root,root,badman,badman
"Oct 23, 2022 @ 06:24:20.000",f2UEBYQB1EsGpQnREsl8,".ds-filebeat-8.3.3-2022.10.23-000001","-","58a8799e-7f70-45b9-8246-9e8479e9558e",UbuntuIns,"8918a70b-95b2-4663-b4e2-2cdd60c759c6",UbuntuIns,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 23, 2022 @ 06:24:23.802",event,system,"-","+00:00","-",auth,UbuntuIns,UbuntuIns,log,"/var/log/auth.log","2,063","-",sudo,sudo,"-",UbuntuIns,"-","badman, root",system,"-","-","-","-","/usr/bin/apt install python3-pip","/home/badman/log4j","pts/0",root,root,root,badman,badman
"Oct 23, 2022 @ 06:24:12.000",e2UEBYQB1EsGpQnREsl8,".ds-filebeat-8.3.3-2022.10.23-000001","-","58a8799e-7f70-45b9-8246-9e8479e9558e",UbuntuIns,"8918a70b-95b2-4663-b4e2-2cdd60c759c6",UbuntuIns,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 23, 2022 @ 06:24:23.799",event,system,"-","+00:00","-",auth,UbuntuIns,UbuntuIns,log,"/var/log/auth.log","1,624","-",sudo,sudo,"-",UbuntuIns,"-","badman, root",system,"-","-","-","-","/usr/bin/chmod +x log4shell.sh","/home/badman/log4j","pts/0",root,root,root,badman,badman
"Oct 23, 2022 @ 06:22:59.000",3WUCBYQB1EsGpQnR1j8A,".ds-filebeat-8.3.3-2022.10.23-000001","-","58a8799e-7f70-45b9-8246-9e8479e9558e",UbuntuIns,"8918a70b-95b2-4663-b4e2-2cdd60c759c6",UbuntuIns,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 23, 2022 @ 06:23:02.783",event,system,"-","+00:00","-",auth,UbuntuIns,UbuntuIns,log,"/var/log/auth.log","1,086","-",sudo,sudo,"-",UbuntuIns,"-","badman, root",system,"-","-","-","-","/usr/bin/apt install iproute2","/home/badman","pts/0",root,root,root,badman,badman
"Oct 23, 2022 @ 06:20:28.000",ImUABYQB1EsGpQnRlTmk,".ds-filebeat-8.3.3-2022.10.23-000001","-","76b5c393-da1c-41ef-9ca7-0c69754359dd",UbuntuIns,"8918a70b-95b2-4663-b4e2-2cdd60c759c6",UbuntuIns,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 23, 2022 @ 06:20:35.235",event,system,"-","+00:00","-",auth,UbuntuIns,UbuntuIns,log,"/var/log/auth.log","2,217","pam_unix(su:session): session closed for user badman",su,su,"-",UbuntuIns,"-",badman,system,"-","-","-","-","-","-","-","-","-","-",badman,badman
"Oct 23, 2022 @ 06:17:52.000","QWX-BIQB1EsGpQnRODEf",".ds-filebeat-8.3.3-2022.10.23-000001","-","76b5c393-da1c-41ef-9ca7-0c69754359dd",UbuntuIns,"8918a70b-95b2-4663-b4e2-2cdd60c759c6",UbuntuIns,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 23, 2022 @ 06:18:00.221",event,system,"-","+00:00","-",auth,UbuntuIns,UbuntuIns,log,"/var/log/auth.log","1,794","-",sudo,sudo,"-",UbuntuIns,"-","badman, root",system,"-","-","-","-","./log4shell.sh","/home/badman/log4j","pts/0",root,root,root,badman,badman
"Oct 23, 2022 @ 06:16:48.000",iGX9BIQB1EsGpQnRJi6o,".ds-filebeat-8.3.3-2022.10.23-000001","-","76b5c393-da1c-41ef-9ca7-0c69754359dd",UbuntuIns,"8918a70b-95b2-4663-b4e2-2cdd60c759c6",UbuntuIns,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 23, 2022 @ 06:16:50.213",event,system,"-","+00:00","-",auth,UbuntuIns,UbuntuIns,log,"/var/log/auth.log","1,353","-",sudo,sudo,"-",UbuntuIns,"-","badman, root",system,"-","-","-","-","/usr/bin/apt install python3-pip","/home/badman/log4j","pts/0",root,root,root,badman,badman
"Oct 23, 2022 @ 06:16:30.000",G2X8BIQB1EsGpQnR7C4O,".ds-filebeat-8.3.3-2022.10.23-000001","-","76b5c393-da1c-41ef-9ca7-0c69754359dd",UbuntuIns,"8918a70b-95b2-4663-b4e2-2cdd60c759c6",UbuntuIns,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 23, 2022 @ 06:16:35.210",event,system,"-","+00:00","-",auth,UbuntuIns,UbuntuIns,log,"/var/log/auth.log",914,"-",sudo,sudo,"-",UbuntuIns,"-","badman, root",system,"-","-","-","-","/usr/bin/chmod +x log4shell.sh","/home/badman/log4j","pts/0",root,root,root,badman,badman
