"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","bytes_in","bytes_out","destination.bytes","destination.ip","destination.mac","destination.packets","destination.port","ecs.version","event.action","event.category","event.dataset","event.duration","event.end","event.kind","event.start","event.type","flow.final","flow.id","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","network.bytes","network.community_id","network.packets","network.transport","network.type","source.bytes","source.ip","source.mac","source.packets","source.port",type
"Oct 24, 2022 @ 22:20:00.003",Mm1dCoQBuPHkiK7OWh5x,".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",958B,"1.4KB","1.4KB","18.183.214.29","02:42:4f:a1:d7:48",20,21,"8.0.0","network_flow",network,flow,"2723.2","Oct 24, 2022 @ 22:19:04.243",event,"Oct 24, 2022 @ 22:19:01.519","connection, end",true,"EQQA////DP//////FP8BAAECQk+h10gCQqwQAAkSt9YdrBAACRUAzMM","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.3KB","1:jh+AigHmhs/ssfhNtbevLTlnul0=",35,tcp,ipv4,958B,"172.16.0.9","02:42:ac:10:00:09",15,50124,flow
"Oct 24, 2022 @ 22:19:50.006",8m1dCoQBuPHkiK7OMx1t,".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",958B,"1.4KB","1.4KB","18.183.214.29","02:42:4f:a1:d7:48",20,21,"8.0.0","network_flow",network,flow,"2723.2","Oct 24, 2022 @ 22:19:04.243",event,"Oct 24, 2022 @ 22:19:01.519",connection,false,"EQQA////DP//////FP8BAAECQk+h10gCQqwQAAkSt9YdrBAACRUAzMM","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.3KB","1:jh+AigHmhs/ssfhNtbevLTlnul0=",35,tcp,ipv4,958B,"172.16.0.9","02:42:ac:10:00:09",15,50124,flow
"Oct 24, 2022 @ 22:19:40.006",pG1dCoQBuPHkiK7ODB1W,".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",958B,"1.4KB","1.4KB","18.183.214.29","02:42:4f:a1:d7:48",20,21,"8.0.0","network_flow",network,flow,"2723.2","Oct 24, 2022 @ 22:19:04.243",event,"Oct 24, 2022 @ 22:19:01.519",connection,false,"EQQA////DP//////FP8BAAECQk+h10gCQqwQAAkSt9YdrBAACRUAzMM","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.3KB","1:jh+AigHmhs/ssfhNtbevLTlnul0=",35,tcp,ipv4,958B,"172.16.0.9","02:42:ac:10:00:09",15,50124,flow
"Oct 24, 2022 @ 22:19:30.002",Um1cCoQBuPHkiK7O5R1O,".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",958B,"1.4KB","1.4KB","18.183.214.29","02:42:4f:a1:d7:48",20,21,"8.0.0","network_flow",network,flow,"2723.2","Oct 24, 2022 @ 22:19:04.243",event,"Oct 24, 2022 @ 22:19:01.519",connection,false,"EQQA////DP//////FP8BAAECQk+h10gCQqwQAAkSt9YdrBAACRUAzMM","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.3KB","1:jh+AigHmhs/ssfhNtbevLTlnul0=",35,tcp,ipv4,958B,"172.16.0.9","02:42:ac:10:00:09",15,50124,flow
"Oct 24, 2022 @ 22:19:20.003",Dm1cCoQBuPHkiK7Ovh1A,".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",958B,"1.4KB","1.4KB","18.183.214.29","02:42:4f:a1:d7:48",20,21,"8.0.0","network_flow",network,flow,"2723.2","Oct 24, 2022 @ 22:19:04.243",event,"Oct 24, 2022 @ 22:19:01.519",connection,false,"EQQA////DP//////FP8BAAECQk+h10gCQqwQAAkSt9YdrBAACRUAzMM","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.3KB","1:jh+AigHmhs/ssfhNtbevLTlnul0=",35,tcp,ipv4,958B,"172.16.0.9","02:42:ac:10:00:09",15,50124,flow
"Oct 24, 2022 @ 22:19:10.004",vW1cCoQBuPHkiK7Olxwz,".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",958B,"1.4KB","1.4KB","18.183.214.29","02:42:4f:a1:d7:48",20,21,"8.0.0","network_flow",network,flow,"2723.2","Oct 24, 2022 @ 22:19:04.243",event,"Oct 24, 2022 @ 22:19:01.519",connection,false,"EQQA////DP//////FP8BAAECQk+h10gCQqwQAAkSt9YdrBAACRUAzMM","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.3KB","1:jh+AigHmhs/ssfhNtbevLTlnul0=",35,tcp,ipv4,958B,"172.16.0.9","02:42:ac:10:00:09",15,50124,flow
"Oct 23, 2022 @ 23:59:30.005","kteSBYQBlvB-G1GIFhnA",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3","1.1KB","1.4KB","1.4KB","18.183.214.29","02:42:e0:b4:32:53",21,21,"8.0.0","network_flow",network,flow,"30827.5","Oct 23, 2022 @ 23:58:51.163",event,"Oct 23, 2022 @ 23:58:20.335","connection, end",true,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHTSOFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.5KB","1:HDbDbuOiLdnlm7a8W9yA7zyKFRM=",39,tcp,ipv4,"1.1KB","172.16.0.9","02:42:ac:10:00:09",18,36404,flow
"Oct 23, 2022 @ 23:59:20.003","iteRBYQBlvB-G1GI7xmv",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3","1.1KB","1.4KB","1.4KB","18.183.214.29","02:42:e0:b4:32:53",21,21,"8.0.0","network_flow",network,flow,"30827.5","Oct 23, 2022 @ 23:58:51.163",event,"Oct 23, 2022 @ 23:58:20.335",connection,false,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHTSOFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.5KB","1:HDbDbuOiLdnlm7a8W9yA7zyKFRM=",39,tcp,ipv4,"1.1KB","172.16.0.9","02:42:ac:10:00:09",18,36404,flow
"Oct 23, 2022 @ 23:59:10.002","gteRBYQBlvB-G1GIyBmf",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3","1.1KB","1.4KB","1.4KB","18.183.214.29","02:42:e0:b4:32:53",21,21,"8.0.0","network_flow",network,flow,"30827.5","Oct 23, 2022 @ 23:58:51.163",event,"Oct 23, 2022 @ 23:58:20.335",connection,false,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHTSOFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.5KB","1:HDbDbuOiLdnlm7a8W9yA7zyKFRM=",39,tcp,ipv4,"1.1KB","172.16.0.9","02:42:ac:10:00:09",18,36404,flow
"Oct 23, 2022 @ 23:59:00.002","eteRBYQBlvB-G1GIoRmQ",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3","1.1KB","1.4KB","1.4KB","18.183.214.29","02:42:e0:b4:32:53",21,21,"8.0.0","network_flow",network,flow,"30827.5","Oct 23, 2022 @ 23:58:51.163",event,"Oct 23, 2022 @ 23:58:20.335",connection,false,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHTSOFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.5KB","1:HDbDbuOiLdnlm7a8W9yA7zyKFRM=",39,tcp,ipv4,"1.1KB","172.16.0.9","02:42:ac:10:00:09",18,36404,flow
"Oct 23, 2022 @ 23:58:50.004","cteRBYQBlvB-G1GIehl-",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3",965B,"1.2KB","1.2KB","18.183.214.29","02:42:e0:b4:32:53",18,21,"8.0.0","network_flow",network,flow,"27348.0","Oct 23, 2022 @ 23:58:47.683",event,"Oct 23, 2022 @ 23:58:20.335",connection,false,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHTSOFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.2KB","1:HDbDbuOiLdnlm7a8W9yA7zyKFRM=",34,tcp,ipv4,965B,"172.16.0.9","02:42:ac:10:00:09",16,36404,flow
"Oct 23, 2022 @ 23:58:40.003","aNeRBYQBlvB-G1GIUxlt",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3",599B,774B,774B,"18.183.214.29","02:42:e0:b4:32:53",11,21,"8.0.0","network_flow",network,flow,"5879.4","Oct 23, 2022 @ 23:58:26.214",event,"Oct 23, 2022 @ 23:58:20.335",connection,false,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHTSOFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1.3KB","1:HDbDbuOiLdnlm7a8W9yA7zyKFRM=",21,tcp,ipv4,599B,"172.16.0.9","02:42:ac:10:00:09",10,36404,flow
"Oct 23, 2022 @ 23:58:30.004","ZNeRBYQBlvB-G1GILBlf",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3",599B,774B,774B,"18.183.214.29","02:42:e0:b4:32:53",11,21,"8.0.0","network_flow",network,flow,"5879.4","Oct 23, 2022 @ 23:58:26.214",event,"Oct 23, 2022 @ 23:58:20.335",connection,false,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHTSOFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1.3KB","1:HDbDbuOiLdnlm7a8W9yA7zyKFRM=",21,tcp,ipv4,599B,"172.16.0.9","02:42:ac:10:00:09",10,36404,flow
"Oct 23, 2022 @ 22:15:30.003","bdcyBYQBlvB-G1GI3w7E",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3","1.2KB","1.5KB","1.5KB","18.183.214.29","02:42:e0:b4:32:53",22,21,"8.0.0","network_flow",network,flow,"37791.9","Oct 23, 2022 @ 22:14:55.822",event,"Oct 23, 2022 @ 22:14:18.031","connection, end",true,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHa7oFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.6KB","1:kh9ktZudswHEyHcdkwGPQEuCPYQ=",42,tcp,ipv4,"1.2KB","172.16.0.9","02:42:ac:10:00:09",20,59566,flow
"Oct 23, 2022 @ 22:15:20.002","ZNcyBYQBlvB-G1GIuA6u",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3","1.2KB","1.5KB","1.5KB","18.183.214.29","02:42:e0:b4:32:53",22,21,"8.0.0","network_flow",network,flow,"37791.9","Oct 23, 2022 @ 22:14:55.822",event,"Oct 23, 2022 @ 22:14:18.031",connection,false,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHa7oFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.6KB","1:kh9ktZudswHEyHcdkwGPQEuCPYQ=",42,tcp,ipv4,"1.2KB","172.16.0.9","02:42:ac:10:00:09",20,59566,flow
"Oct 23, 2022 @ 22:15:10.003","XdcyBYQBlvB-G1GIkQ6e",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3","1.2KB","1.5KB","1.5KB","18.183.214.29","02:42:e0:b4:32:53",22,21,"8.0.0","network_flow",network,flow,"37791.9","Oct 23, 2022 @ 22:14:55.822",event,"Oct 23, 2022 @ 22:14:18.031",connection,false,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHa7oFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.6KB","1:kh9ktZudswHEyHcdkwGPQEuCPYQ=",42,tcp,ipv4,"1.2KB","172.16.0.9","02:42:ac:10:00:09",20,59566,flow
"Oct 23, 2022 @ 22:15:00.005","VdcyBYQBlvB-G1GIag6R",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3","1.2KB","1.5KB","1.5KB","18.183.214.29","02:42:e0:b4:32:53",22,21,"8.0.0","network_flow",network,flow,"37791.9","Oct 23, 2022 @ 22:14:55.822",event,"Oct 23, 2022 @ 22:14:18.031",connection,false,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHa7oFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.6KB","1:kh9ktZudswHEyHcdkwGPQEuCPYQ=",42,tcp,ipv4,"1.2KB","172.16.0.9","02:42:ac:10:00:09",20,59566,flow
"Oct 23, 2022 @ 22:14:50.002","TdcyBYQBlvB-G1GIQw5-",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3",965B,"1.2KB","1.2KB","18.183.214.29","02:42:e0:b4:32:53",18,21,"8.0.0","network_flow",network,flow,"30684.6","Oct 23, 2022 @ 22:14:48.715",event,"Oct 23, 2022 @ 22:14:18.031",connection,false,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHa7oFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2.2KB","1:kh9ktZudswHEyHcdkwGPQEuCPYQ=",34,tcp,ipv4,965B,"172.16.0.9","02:42:ac:10:00:09",16,59566,flow
"Oct 23, 2022 @ 22:14:40.004","RtcyBYQBlvB-G1GIHA5z",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3",599B,774B,774B,"18.183.214.29","02:42:e0:b4:32:53",11,21,"8.0.0","network_flow",network,flow,"13172.4","Oct 23, 2022 @ 22:14:31.203",event,"Oct 23, 2022 @ 22:14:18.031",connection,false,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHa7oFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1.3KB","1:kh9ktZudswHEyHcdkwGPQEuCPYQ=",21,tcp,ipv4,599B,"172.16.0.9","02:42:ac:10:00:09",10,59566,flow
"Oct 23, 2022 @ 22:14:30.003","P9cxBYQBlvB-G1GI9Q5f",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3",306B,274B,274B,"18.183.214.29","02:42:e0:b4:32:53",4,21,"8.0.0","network_flow",network,flow,"8596.8","Oct 23, 2022 @ 22:14:26.627",event,"Oct 23, 2022 @ 22:14:18.031",connection,false,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHa7oFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",580B,"1:kh9ktZudswHEyHcdkwGPQEuCPYQ=",9,tcp,ipv4,306B,"172.16.0.9","02:42:ac:10:00:09",5,59566,flow
"Oct 23, 2022 @ 22:14:20.002","MdcxBYQBlvB-G1GIzg5O",".ds-packetbeat-8.4.3-2022.10.21-000001","-","4b70f7af-34a8-4b87-a60b-915bbf54570d",129e4f27eaec,"359657de-6e27-4d82-9fcc-806ccd6e6b33",129e4f27eaec,packetbeat,"8.4.3",182B,132B,132B,"18.183.214.29","02:42:e0:b4:32:53",2,21,"8.0.0","network_flow",network,flow,"204.6","Oct 23, 2022 @ 22:14:18.235",event,"Oct 23, 2022 @ 22:14:18.031",connection,false,"EQQA////DP//////FP8BAAECQqwQAAkCQuC0MlOsEAAJErfWHa7oFQA","x86_64",false,129e4f27eaec,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",129e4f27eaec,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",314B,"1:kh9ktZudswHEyHcdkwGPQEuCPYQ=",5,tcp,ipv4,182B,"172.16.0.9","02:42:ac:10:00:09",3,59566,flow
